ma_khach_hang,ma_san_pham,ten_san_pham,diem_trung_binh,Rating
11,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
12,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
12,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
12,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
12,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
12,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
13,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.018633842468262
13,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.071606159210205
13,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.090473651885986
13,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.013877391815186
13,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.124327659606934
14,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.44990348815918
14,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.401634216308594
14,222600049,Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 400ml,5.0,5.349318504333496
14,222600052,Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 100ml,5.0,5.349318504333496
14,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.520846843719482
15,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
15,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
15,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
15,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
15,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
16,422208238,Tinh Chất B.O.M Vàng 24K Làm Sáng Và Săn Chắc Da 30ml,5.0,5.574758052825928
16,100150067,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 300ml",5.0,5.493889808654785
16,100150066,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 150ml",5.0,5.500009536743164
16,204900080,[Mini] Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 3ml,5.0,5.559973239898682
16,100150065,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 50ml",5.0,5.500009536743164
17,100150066,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 150ml",5.0,5.603452682495117
17,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.671606063842773
17,371600007,Serum Balance Active Formula Cấp Nước Dưỡng Ẩm Da 30ml,4.8,5.620847225189209
17,422208238,Tinh Chất B.O.M Vàng 24K Làm Sáng Và Săn Chắc Da 30ml,5.0,5.642736434936523
17,100150065,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 50ml",5.0,5.603452682495117
18,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.477230548858643
18,422209699,Kem Dưỡng Caryophy Cấp Ẩm Và Dưỡng Sáng Da 50ml,4.2,5.312258243560791
18,343100024,Kem Chống Nắng B.O.M Nâng Tông Dịu Nhẹ 50ml,4.8,5.293008327484131
18,422201725,Kem Dưỡng B.O.M Chiết Xuất 8 Loại Trà Cấp Ẩm Da 50g,5.0,5.39997386932373
18,308500001,Sữa Rửa Mặt Naruko Dạng Bùn Tràm Trà 120ml,4.9,5.404045104980469
19,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
19,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
19,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
19,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
19,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
20,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
20,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
20,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
20,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
20,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
21,204100082,Gel Rửa Mặt Eucerin Làm Sạch Dịu Nhẹ Da Nhạy Cảm 200ml,5.0,5.591451644897461
21,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,5.58494758605957
21,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.711501598358154
21,422208238,Tinh Chất B.O.M Vàng 24K Làm Sáng Và Săn Chắc Da 30ml,5.0,5.678647994995117
21,422204659,Mặt Nạ Nghệ Hưng Yên Cocoon Giúp Da Rạng Rỡ Mịn Màng 100ml,4.9,5.550652980804443
22,422211241,Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 100ml,4.8,5.374984741210938
22,331300006,Sữa Dưỡng Da Curél Cấp Ẩm Chuyên Sâu 120ml,5.0,5.505187034606934
22,422211231,"Sữa Chống Nắng Acnes Ngăn Ngừa Mụn Cho Da Mụn, Nhạy Cảm 50g",5.0,5.445734024047852
22,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.604714870452881
22,251900024,"Mặt Nạ Rainbow L'Affair Cấp Ẩm, Ngừa Lão Hóa Da 25ml",5.0,5.533172607421875
23,208000001,"Serum Timeless Hyaluronic Acid Cấp Nước, Dưỡng Ẩm Da 60ml",4.8,4.998377323150635
23,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.001808166503906
23,422207865,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 125ml (Mới),4.5,4.987515449523926
23,422218629,Combo 2 Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới),4.5,4.97858715057373
23,422218633,Combo 2 Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 250ml (Mới),4.5,5.044356822967529
24,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,5.359578609466553
24,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.412435531616211
24,422210956,Dầu Tẩy Trang Kosé Softymo Làm Sạch Sâu Lỗ Chân Lông 230ml,5.0,5.420795917510986
24,422210954,Dầu Tẩy Trang Kosé Softymo Làm Sạch Nhanh 230ml,5.0,5.418323040008545
24,422210957,Dầu Tẩy Trang Kosé Softymo Dưỡng Sáng Da 230ml,5.0,5.418396472930908
25,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
25,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
25,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
25,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
25,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
26,318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.8,4.935442924499512
26,422216896,Combo 2 Mặt Nạ innisfree Chăm Sóc Lỗ Chân Lông 100ml,5.0,4.939839839935303
26,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.819272994995117
26,201600074,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 30ml,4.9,4.688668251037598
26,318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,4.8,4.948890686035156
27,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.124327659606934
27,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.071606159210205
27,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.018633842468262
27,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.013877391815186
27,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.090473651885986
28,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,4.086836338043213
28,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,4.029006481170654
28,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.112216949462891
28,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,4.067103862762451
28,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,4.028227806091309
29,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.107344627380371
29,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.073780059814453
29,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.105118751525879
29,422209053,"Serum Swiss Image Dưỡng Sáng Da, Giảm Xỉn Màu 30ml",5.0,5.026752948760986
29,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.154556274414062
30,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.600040435791016
30,422208238,Tinh Chất B.O.M Vàng 24K Làm Sáng Và Săn Chắc Da 30ml,5.0,5.555564880371094
30,204100082,Gel Rửa Mặt Eucerin Làm Sạch Dịu Nhẹ Da Nhạy Cảm 200ml,5.0,5.454483509063721
30,422210957,Dầu Tẩy Trang Kosé Softymo Dưỡng Sáng Da 230ml,5.0,5.421755313873291
30,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,5.447680950164795
31,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.058733940124512
31,201600019,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 50ml,4.9,5.054065227508545
31,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.207691192626953
31,422220466,Combo 2 Nước Tẩy Trang Neutrogena Thanh Lọc Và Làm Sạch Sâu 400ml,4.8,5.181118011474609
31,422209052,"Kem Dưỡng Swiss Image Sáng Da, Giảm Thâm Nám Ban Đêm 50ml",4.9,5.054976940155029
32,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.076497554779053
32,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.072335720062256
32,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.125210762023926
32,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.143618583679199
32,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.154723167419434
33,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
